0,-0.018806,-0.19904,2.0147,-0.098043,-0.42983,1.939,0.090514,-0.58348,1.9695
24,-0.018806,-0.19904,2.0147,-0.098043,-0.42983,1.939,0.090514,-0.58348,1.9695
56,-0.018892,-0.19912,2.0146,-0.098428,-0.42962,1.939,0.090089,-0.58321,1.9694
85,-0.018966,-0.1992,2.0145,-0.098838,-0.42938,1.9391,0.089643,-0.58292,1.9693
122,-0.018966,-0.1992,2.0145,-0.098838,-0.42938,1.9391,0.089643,-0.58292,1.9693
156,-0.019026,-0.19926,2.0144,-0.099122,-0.42899,1.9391,0.089272,-0.58263,1.9692
210,-0.019075,-0.19932,2.0144,-0.097582,-0.42821,1.9399,0.089356,-0.58261,1.9691
256,-0.019075,-0.19932,2.0144,-0.097582,-0.42821,1.9399,0.089356,-0.58261,1.9691
292,-0.01912,-0.19937,2.0143,-0.093759,-0.4269,1.9416,0.090082,-0.58295,1.9691
347,-0.019158,-0.19942,2.0143,-0.0895,-0.42556,1.9433,0.090998,-0.58338,1.9691
385,-0.019158,-0.19942,2.0143,-0.0895,-0.42556,1.9433,0.090998,-0.58338,1.9691
424,-0.019191,-0.19946,2.0143,-0.085056,-0.42424,1.9451,0.092043,-0.58388,1.9692
471,-0.019213,-0.19949,2.0142,-0.080541,-0.42293,1.947,0.093196,-0.58443,1.9692
521,-0.019213,-0.19949,2.0142,-0.080541,-0.42293,1.947,0.093196,-0.58443,1.9692
552,-0.019227,-0.19952,2.0142,-0.078345,-0.42244,1.9478,0.093779,-0.58471,1.9692
602,-0.01924,-0.19954,2.0142,-0.077081,-0.42216,1.9483,0.094186,-0.58488,1.9692
651,-0.01924,-0.19954,2.0142,-0.077081,-0.42216,1.9483,0.094186,-0.58488,1.9692
684,-0.019249,-0.19956,2.0142,-0.075111,-0.42176,1.9491,0.094856,-0.58518,1.9693
739,-0.019244,-0.19958,2.0142,-0.073387,-0.42121,1.9498,0.095471,-0.58541,1.9693
791,-0.019244,-0.19958,2.0142,-0.073387,-0.42121,1.9498,0.095471,-0.58541,1.9693
826,-0.018734,-0.19919,2.0146,-0.070034,-0.42003,1.9511,0.09653,-0.58572,1.9695
881,-0.018502,-0.19904,2.0147,-0.066899,-0.419,1.9523,0.097659,-0.58611,1.9696
924,-0.018502,-0.19904,2.0147,-0.066899,-0.419,1.9523,0.097659,-0.58611,1.9696
962,-0.018314,-0.19893,2.0149,-0.064027,-0.41826,1.9534,0.098799,-0.58653,1.9697
1013,-0.018153,-0.19883,2.015,-0.058945,-0.41715,1.9552,0.099916,-0.58693,1.9699
1053,-0.018153,-0.19883,2.015,-0.058945,-0.41715,1.9552,0.099916,-0.58693,1.9699
1090,-0.018029,-0.19876,2.0151,-0.05745,-0.41678,1.9558,0.10066,-0.58717,1.97
1146,-0.017923,-0.1987,2.0152,-0.056755,-0.41658,1.9561,0.10122,-0.58731,1.97
1187,-0.017923,-0.1987,2.0152,-0.056755,-0.41658,1.9561,0.10122,-0.58731,1.97
1223,-0.017834,-0.19865,2.0153,-0.055033,-0.41619,1.9568,0.10207,-0.58762,1.9702
1283,-0.017752,-0.1986,2.0153,-0.053492,-0.41584,1.9574,0.10291,-0.58791,1.9703
1321,-0.017752,-0.1986,2.0153,-0.053492,-0.41584,1.9574,0.10291,-0.58791,1.9703
1358,-0.017682,-0.19857,2.0154,-0.052202,-0.41552,1.9579,0.10376,-0.58821,1.9704
1409,-0.017617,-0.19854,2.0154,-0.051009,-0.41522,1.9584,0.10459,-0.58852,1.9705
1453,-0.017617,-0.19854,2.0154,-0.051009,-0.41522,1.9584,0.10459,-0.58852,1.9705
1492,-0.017549,-0.19851,2.0155,-0.049879,-0.41496,1.9588,0.10541,-0.58882,1.9706
1546,-0.017487,-0.19849,2.0155,-0.051959,-0.41526,1.9583,0.10538,-0.58863,1.9707
1587,-0.017487,-0.19849,2.0155,-0.051959,-0.41526,1.9583,0.10538,-0.58863,1.9707
1620,-0.017435,-0.19847,2.0156,-0.051499,-0.41507,1.9585,0.10597,-0.58881,1.9708
1674,-0.017386,-0.19846,2.0156,-0.050888,-0.41483,1.9587,0.10657,-0.58902,1.971
1721,-0.017386,-0.19846,2.0156,-0.050888,-0.41483,1.9587,0.10657,-0.58902,1.971
1756,-0.017334,-0.19845,2.0157,-0.050173,-0.41457,1.9589,0.10719,-0.58923,1.9711
1805,-0.017274,-0.19844,2.0157,-0.049356,-0.41429,1.9592,0.1078,-0.58942,1.9712
1851,-0.017274,-0.19844,2.0157,-0.049356,-0.41429,1.9592,0.1078,-0.58942,1.9712
1885,-0.017203,-0.19842,2.0158,-0.051143,-0.41476,1.9585,0.10782,-0.58929,1.9713
1941,-0.017096,-0.1984,2.0158,-0.053594,-0.41528,1.9575,0.10762,-0.58902,1.9714
1988,-0.017096,-0.1984,2.0158,-0.053594,-0.41528,1.9575,0.10762,-0.58902,1.9714
2018,-0.01694,-0.19836,2.0159,-0.053649,-0.4153,1.9574,0.10799,-0.58906,1.9715
2075,-0.016756,-0.19832,2.016,-0.0535,-0.41522,1.9574,0.10841,-0.58911,1.9716
2120,-0.016756,-0.19832,2.016,-0.0535,-0.41522,1.9574,0.10841,-0.58911,1.9716
2155,-0.016567,-0.19826,2.0162,-0.053289,-0.41516,1.9574,0.10884,-0.58916,1.9718
2210,-0.016407,-0.19822,2.0163,-0.053,-0.4151,1.9575,0.10925,-0.58921,1.9719
2251,-0.016407,-0.19822,2.0163,-0.053,-0.4151,1.9575,0.10925,-0.58921,1.9719
2286,-0.016245,-0.19817,2.0164,-0.0543,-0.41518,1.9571,0.10911,-0.58885,1.9717
2347,-0.016093,-0.19812,2.0165,-0.056248,-0.41533,1.9565,0.10878,-0.58829,1.9711
2389,-0.016093,-0.19812,2.0165,-0.056248,-0.41533,1.9565,0.10878,-0.58829,1.9711
2421,-0.015955,-0.19808,2.0166,-0.061202,-0.4154,1.9555,0.10688,-0.58636,1.9691
2481,-0.015826,-0.19804,2.0167,-0.049073,-0.41604,1.9564,0.10733,-0.58564,1.9647
2522,-0.015826,-0.19804,2.0167,-0.049073,-0.41604,1.9564,0.10733,-0.58564,1.9647
2556,-0.015654,-0.19802,2.0169,-0.035221,-0.41663,1.9563,0.10808,-0.5841,1.9547
2608,-0.015105,-0.19802,2.0171,-0.020755,-0.41653,1.9543,0.10873,-0.58,1.9362
2654,-0.015105,-0.19802,2.0171,-0.020755,-0.41653,1.9543,0.10873,-0.58,1.9362
2692,-0.014308,-0.19804,2.0175,-0.0065435,-0.41454,1.9502,0.10778,-0.57194,1.9104
2745,-0.013311,-0.19808,2.0178,0.0071861,-0.41018,1.9435,0.10433,-0.55902,1.8751
2789,-0.013311,-0.19808,2.0178,0.0071861,-0.41018,1.9435,0.10433,-0.55902,1.8751
2822,-0.012148,-0.19811,2.0182,0.019511,-0.40347,1.9343,0.09837,-0.53969,1.8359
2877,-0.0109,-0.19815,2.0185,0.029995,-0.39407,1.9221,0.089055,-0.51374,1.7918
2920,-0.0109,-0.19815,2.0185,0.029995,-0.39407,1.9221,0.089055,-0.51374,1.7918
2956,-0.0094165,-0.19809,2.0186,0.037909,-0.38207,1.9075,0.077646,-0.48531,1.7492
3014,-0.0078602,-0.19793,2.0187,0.042714,-0.36601,1.8914,0.064132,-0.45259,1.7098
3057,-0.0078602,-0.19793,2.0187,0.042714,-0.36601,1.8914,0.064132,-0.45259,1.7098
3091,-0.0064099,-0.19767,2.0186,0.044199,-0.34645,1.8753,0.048505,-0.41673,1.6753
3142,-0.0050855,-0.19729,2.0184,0.041543,-0.32306,1.8569,0.030771,-0.37895,1.6433
3192,-0.0050855,-0.19729,2.0184,0.041543,-0.32306,1.8569,0.030771,-0.37895,1.6433
3226,-0.0039169,-0.19678,2.018,0.036132,-0.2984,1.8408,0.011732,-0.33979,1.6177
3283,-0.0029394,-0.19611,2.0176,0.027098,-0.27137,1.824,-0.0085018,-0.30032,1.5954
3322,-0.0029394,-0.19611,2.0176,0.027098,-0.27137,1.824,-0.0085018,-0.30032,1.5954
3360,-0.0021391,-0.1951,2.017,0.0163,-0.24447,1.8086,-0.029681,-0.25945,1.5774
3414,-0.0015093,-0.19361,2.0162,0.0042037,-0.21738,1.7957,-0.050048,-0.21866,1.5646
3457,-0.0015093,-0.19361,2.0162,0.0042037,-0.21738,1.7957,-0.050048,-0.21866,1.5646
3491,-0.0011404,-0.19157,2.0152,-0.0088639,-0.19056,1.785,-0.069805,-0.17808,1.5562
3549,-0.0010782,-0.18889,2.0142,-0.022811,-0.16338,1.7755,-0.088873,-0.13874,1.5501
3588,-0.0010782,-0.18889,2.0142,-0.022811,-0.16338,1.7755,-0.088873,-0.13874,1.5501
3623,-0.0012943,-0.18578,2.0131,-0.036682,-0.13719,1.7671,-0.10772,-0.098071,1.5475
3682,-0.0017445,-0.18225,2.012,-0.049607,-0.1117,1.7618,-0.1243,-0.060156,1.5489
3722,-0.0017445,-0.18225,2.012,-0.049607,-0.1117,1.7618,-0.1243,-0.060156,1.5489
3757,-0.0023753,-0.17838,2.0109,-0.061701,-0.086923,1.7588,-0.13895,-0.024535,1.553
3820,-0.0031185,-0.17414,2.0098,-0.072468,-0.063992,1.7583,-0.15155,0.0093433,1.5607
3854,-0.0031185,-0.17414,2.0098,-0.072468,-0.063992,1.7583,-0.15155,0.0093433,1.5607
3890,-0.0039896,-0.16957,2.0087,-0.081839,-0.043397,1.7596,-0.16226,0.04108,1.5712
3946,-0.0049463,-0.16469,2.0078,-0.090059,-0.024559,1.7616,-0.17204,0.072441,1.5844
4010,-0.0049463,-0.16469,2.0078,-0.090059,-0.024559,1.7616,-0.17204,0.072441,1.5844
4049,-0.0059931,-0.15989,2.0071,-0.097417,-0.0067455,1.7649,-0.18029,0.099841,1.5965
4084,-0.007137,-0.15531,2.0066,-0.10372,0.00929,1.7693,-0.18718,0.12469,1.6089
4120,-0.007137,-0.15531,2.0066,-0.10372,0.00929,1.7693,-0.18718,0.12469,1.6089
4158,-0.0083052,-0.15104,2.0062,-0.1091,0.024098,1.7751,-0.19264,0.14836,1.6248
4216,-0.009507,-0.14705,2.006,-0.11301,0.037407,1.7836,-0.19639,0.16925,1.6427
4254,-0.009507,-0.14705,2.006,-0.11301,0.037407,1.7836,-0.19639,0.16925,1.6427
4290,-0.010748,-0.14342,2.006,-0.11657,0.050302,1.7927,-0.19931,0.18869,1.6609
4356,-0.012077,-0.14001,2.0062,-0.11922,0.062423,1.803,-0.2016,0.20846,1.6802
4389,-0.012077,-0.14001,2.0062,-0.11922,0.062423,1.803,-0.2016,0.20846,1.6802
4429,-0.013533,-0.1364,2.0065,-0.12123,0.073546,1.813,-0.20361,0.2275,1.6987
4477,-0.014711,-0.13234,2.0071,-0.12269,0.08401,1.8232,-0.20461,0.24449,1.718
4522,-0.014711,-0.13234,2.0071,-0.12269,0.08401,1.8232,-0.20461,0.24449,1.718
4564,-0.015641,-0.12794,2.0079,-0.12372,0.093768,1.8332,-0.20615,0.26316,1.7371
4615,-0.016323,-0.12457,2.0085,-0.12437,0.10309,1.8438,-0.20732,0.27938,1.7546
4662,-0.016323,-0.12457,2.0085,-0.12437,0.10309,1.8438,-0.20732,0.27938,1.7546
4694,-0.016845,-0.12143,2.009,-0.12483,0.11173,1.8544,-0.20821,0.29435,1.7711
4752,-0.017239,-0.11857,2.0096,-0.12518,0.1195,1.8648,-0.2089,0.30788,1.7865
4798,-0.017239,-0.11857,2.0096,-0.12518,0.1195,1.8648,-0.2089,0.30788,1.7865
4823,-0.017528,-0.11595,2.0101,-0.12539,0.12636,1.8747,-0.20927,0.31973,1.8009
4884,-0.01773,-0.11357,2.0105,-0.12537,0.13242,1.8842,-0.20933,0.32996,1.8139
4923,-0.01773,-0.11357,2.0105,-0.12537,0.13242,1.8842,-0.20933,0.32996,1.8139
4961,-0.017837,-0.11079,2.0112,-0.1252,0.13813,1.8935,-0.20904,0.33892,1.826
5018,-0.018052,-0.10492,2.012,-0.12543,0.14492,1.902,-0.20863,0.34718,1.8371
5051,-0.018052,-0.10492,2.012,-0.12543,0.14492,1.902,-0.20863,0.34718,1.8371
5090,-0.018472,-0.096184,2.0128,-0.12608,0.15299,1.9098,-0.20826,0.35493,1.8475
5142,-0.018757,-0.090146,2.0135,-0.1267,0.16088,1.9176,-0.20781,0.36162,1.857
5188,-0.018757,-0.090146,2.0135,-0.1267,0.16088,1.9176,-0.20781,0.36162,1.857
5223,-0.019073,-0.083214,2.0142,-0.12735,0.16822,1.9247,-0.20742,0.36744,1.8656
5285,-0.019089,-0.078937,2.015,-0.1274,0.17284,1.9308,-0.20684,0.37178,1.8737
5323,-0.019089,-0.078937,2.015,-0.1274,0.17284,1.9308,-0.20684,0.37178,1.8737
5356,-0.019106,-0.075471,2.0156,-0.12741,0.17654,1.9359,-0.20626,0.37526,1.8809
5414,-0.019091,-0.072559,2.0162,-0.1274,0.17951,1.9401,-0.20571,0.37802,1.8873
5453,-0.019091,-0.072559,2.0162,-0.1274,0.17951,1.9401,-0.20571,0.37802,1.8873
5487,-0.019053,-0.070113,2.0167,-0.12736,0.18188,1.9438,-0.20521,0.38019,1.8929
5546,-0.019173,-0.067071,2.0172,-0.12748,0.18427,1.9471,-0.20488,0.38209,1.8976
5588,-0.019173,-0.067071,2.0172,-0.12748,0.18427,1.9471,-0.20488,0.38209,1.8976
5634,-0.019454,-0.063555,2.0178,-0.12767,0.18635,1.9496,-0.2046,0.3836,1.9016
